x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s),aggr_acc
-13.396271,-3.8307648,3.7164154,04-09-2017 11:55:12,Walk,978.722743506,971.512567033,14.4203529459
-12.749023,-5.466858,3.767868,04-09-2017 11:55:13,Walk,993.07404065,985.886882778,14.3743157441
-14.164963,-2.7952728,2.0229034,04-09-2017 11:55:14,Walk,1007.75562065,1000.46604136,14.5791585828
-16.051117,-4.6221924,3.6392517,04-09-2017 11:55:15,Walk,1026.10889881,1017.56127966,17.095238298
-14.809235,-2.2485046,2.5768433,04-09-2017 11:55:22,Walk,1040.35976656,1032.76027093,15.1989912696
-13.4779285,-2.51202395,3.5881119,04-09-2017 11:55:25,Walk,1054.01794197,1046.93205162,14.171780692
-12.988907,-4.4134216,3.423294,04-09-2017 11:55:26,Walk,1068.14042517,1061.07096732,14.1389156969
-3.5737305,-2.7845001,15.54953,04-09-2017 11:55:27,Walk,1085.36508113,1077.26704319,16.1960758739
-5.962372,3.1317444,16.164474,04-09-2017 11:55:28,Walk,1103.53409148,1094.77840872,17.511365525
-14.5526045,-6.23854065,2.8547058,04-09-2017 11:55:29,Walk,1118.91149436,1110.86713248,16.0887237648
-14.188889,-6.2702484,0.9030609,04-09-2017 11:55:30,Walk,1134.17541934,1126.40599039,15.5388579066
-14.184708,-2.7821198,2.13237,04-09-2017 11:55:31,Walk,1148.32309673,1141.01739461,14.6114042256
-13.308945,-3.9127197,0.2492218,04-09-2017 11:55:35,Walk,1161.82902319,1154.89181366,13.8744190498
-12.090393,-7.3637695,1.5778351,04-09-2017 11:55:36,Walk,1176.25785219,1169.13583935,14.2440256861
-13.95919,-4.44750975,1.52788545,04-09-2017 11:55:37,Walk,1191.23088326,1183.86586862,14.7300292729
-14.113525,-5.5147095,-0.13482666,04-09-2017 11:55:38,Walk,1206.59578329,1199.01914507,15.1532764452
-13.0418395,-7.68829345,0.679931635,04-09-2017 11:55:39,Walk,1221.75103713,1214.17373977,15.1545947074
-14.5633695,-7.2264785,1.69120025,04-09-2017 11:55:40,Walk,1238.69192144,1230.51919422,16.3454544443
-13.881424,-6.0483093,1.4372559,04-09-2017 11:55:41,Walk,1253.334075,1245.72911474,15.2099205185
-12.9171145,-6.0462112,1.2506256,04-09-2017 11:55:42,Walk,1267.20441003,1260.04597826,14.3168635278
