x-value,y-value,z-value,timestamp,travel_mode
-14.37957575,3.25132595,-0.081402855,06-11-17 09:53,Cycling
-14.374787,3.0933087,-0.90979666,06-11-17 09:54,Cycling
-14.642938,3.0933087,-0.80445176,06-11-17 09:55,Cycling
-14.9493955,2.6288335,-0.56503162,06-11-17 09:56,Cycling
-14.010868,2.80600425,-0.459686725,06-11-17 09:57,Cycling
-14.4130945,3.371036,-0.79487497,06-11-17 09:58,Cycling
-14.221558,2.9448681,-1.3599066,06-11-17 09:59,Cycling
-10.477027,0.48841715,-5.209783,06-11-17 10:00,Cycling
-13.800179,3.0550013,3.4476504,06-11-17 11:01,Cycling
-13.9198885,3.763685,2.2601264,06-11-17 11:02,Cycling
-14.8584155,4.2042185,2.3989902,06-11-17 11:03,Cycling
-14.130578,3.8546648,3.1651347,06-11-17 11:04,Cycling
-13.972561,4.4819455,3.6966474,06-11-17 11:05,Cycling
-14.355634,4.8362875,3.8881836,06-11-17 11:06,Cycling
-14.767436,4.31914,4.1371803,06-11-17 11:07,Cycling
-14.0683285,4.46758025,4.2377373,06-11-17 11:08,Cycling
-0.694318484,14.0252335,-3.69185915,06-11-17 11:09,Cycling
-14.3891525,2.4803929,3.16034625,06-11-17 11:12,Cycling
-14.872781,2.6144683,0.29688102,06-11-17 11:13,Cycling
-14.748282,2.5474305,0.41180268,06-11-17 11:14,Cycling
-14.393941,2.566584,-1.043872,06-11-17 11:15,Cycling
-14.211981,2.1164744,0.37349546,06-11-17 11:16,Cycling
-1.5993267,3.1028855,17.362751,06-11-17 11:19,Cycling
-6.196194,13.359646,0.49799395,06-11-17 11:48,Cycling
-6.3685765,13.656527,0.5554548,06-11-17 11:49,Cycling
-7.2927385,13.752295,0.80924016,06-11-17 11:50,Cycling
-7.642292,14.231135,0.60333884,06-11-17 11:51,Cycling
-7.335834,13.053187,2.0494366,06-11-17 11:52,Cycling
-6.87614725,13.2495125,0.54587797,06-11-17 11:53,Cycling
-7.1634517,13.340492,0.6703765,06-11-17 11:54,Cycling
-7.2592196,13.426683,0.59376204,06-11-17 11:55,Cycling
-7.3023153,13.2590895,0.6655881,06-11-17 11:56,Cycling
-7.383718,13.532028,1.0726024,06-11-17 11:57,Cycling
